epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.774,1.54097,3.01006,1.72586,0.38605,0.97368,0.73505,0.41142,1.2241,3.07627,1.40135,0.00026672,0.00026672,0.00026672
2,356.142,1.25472,1.89809,1.40144,0.99216,0.32741,0.88762,0.55304,1.14413,2.86039,1.3521,0.000368574,0.000368574,0.000368574
3,512.907,1.13863,1.53808,1.33084,0.97679,0.67598,0.94011,0.70032,1.00441,2.69204,1.18725,0.00028339,0.00028339,0.00028339
